champion,highestCrowdControlScore,timeCCingOthers,totalTimeCCDealt,assists,deaths,kills,kda,takedowns,doubleKills,damageSelfMitigated,killingSprees,largestKillingSpree,largestMultiKill,damagePerMinute,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalHeal,effectiveHealAndShielding,totalHealsOnTeammates,totalTimeSpentDead,damageTakenOnTeamPercentage,totalDamageTaken,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killParticipation,multikills,multikillsAfterAggressiveFlash,outnumberedKills,skillshotsDodged,skillshotsHit,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,teamDamagePercentage,tookLargeDamageSurvived
MasterYi,0.0,0.0074004616086699865,0.05273162711512122,0.0,0.7254268379474718,1.0,0.1662750711037294,0.49720109774330856,0.9999999999999999,0.27653327094578684,0.987313740153961,0.8878370805224531,1.0,0.5816135448234427,0.5494873436519805,4.5230393451973e-05,0.1540385450037916,3.7292126354223086e-05,0.0,0.7199123003765224,0.7078606904635777,0.5794485594205251,0.000486939053664714,0.9345974801028882,0.42097048903990286,1.0,1.0,1.0,0.4253366321019336,0.0,0.9318980361851465,0.4869968216387214,0.19611042364244935,0.7690908366137559,0.19228784499117757,0.5986601975725729,0.6650008918435342,0.06716912577025998
MonkeyKing,0.003299916457811195,0.07122444969877484,0.02209323363476058,0.2783019815183898,0.4814065698074823,0.63580716028218,0.2682113978061531,0.4592112996227722,0.4223709030310976,0.4357418858115766,0.6200615210820677,0.6169870609652961,0.4912420347446316,0.37655299928027913,0.41055007561133655,0.0,0.1549324961292144,0.0,0.0,0.5319607326193425,0.7620467663676939,0.7770247613841027,0.4911910569902628,0.41506681001382284,0.3176314073189692,0.35777339307966394,0.4280074872070495,0.5635134776530241,0.5052170467690369,3.83279189044709e-05,0.44035499984720905,0.28363034221731576,0.5043292729911139,0.48696795001766535,1.0,0.43115658996644246,0.40867694545912203,0.1652643414013368
Nidalee,0.0,0.0065540440987194165,0.0,0.32659360762171996,0.31191926005409587,0.6604676062537731,0.49192781865677415,0.5558722228141182,0.39672698330996525,0.15277250706025788,0.7031414916489159,0.7164873730551284,0.46531751754720974,0.4479772690676224,0.41472157964773,9.317529947364552e-06,0.33120070244029415,0.26434222469474283,1.0,0.28782943451310206,0.7632991227198643,0.6719135469686163,0.0003886417162800172,0.6117347404553672,0.6813396686419004,0.33182058437747747,0.3023111560322751,0.33208557209695416,0.13539739551100227,0.17055512490422986,0.43631710322328865,0.6769202647218734,0.25903094285489936,0.06342621342439347,0.0,0.47201977570100384,0.521607984594028,0.002411199386624717
Nocturne,1.0,1.0,0.27026394187748,0.386562634617722,0.5624479231150916,0.5195990191208936,0.230986126315337,0.47439517758787675,0.2529330773167573,0.32485532780224813,0.47375678834071633,0.48741588301260114,0.35225994619539813,0.32173251612746084,0.34916801154993143,0.0,0.24556372350894146,0.0,0.0,0.6103576458860063,0.8561067009211404,0.885186286016494,0.3922045491686881,0.3868963720597469,0.30539397894521114,0.2080513953847899,0.2068860508856373,0.41550448769403303,0.31404975205455643,0.24763134724295166,0.3736936482420463,0.4124988272025135,0.2623515349641894,0.37105097751386973,0.32083341937348997,0.31048305822483435,0.349416765804616,0.08215672668052648
Nunu,0.09325942244145395,0.1805457000825254,0.148922666653181,0.7721548525358168,0.5552686901292114,0.2678651516541688,0.36453778675459314,0.7192829298073424,0.11144199568773058,0.4642625395333103,0.21369422885706058,0.22152034512992952,0.178036011926628,0.19179346427762395,0.1969890917098644,0.0032662394948360924,0.31758472034023133,0.007499680476481647,0.018184792841946424,0.528210932854078,0.8507055049547713,0.8519065009827212,0.7627536686912574,0.5861785102526151,0.6685664245307823,0.09095020638894788,0.14026599538572715,0.13727599582235284,0.5035468184602474,1.0,0.10790593875868257,0.1917146223595909,0.7196090101572299,1.0,0.33879531592564494,0.6301841680379008,0.1962603694230669,0.21229817104740345
Rammus,0.2867260744453727,0.23985241277131114,0.2613704239997262,0.7444255656182324,0.28519436840119305,0.2112222440051421,0.5159175258222701,0.6132983270355878,0.03035552943213636,1.0,0.1614257115858152,0.20651781873955283,0.09490064846224078,0.17380157771801558,0.1893930698355381,9.42864345085209e-05,0.16146328498784845,0.01982210284197086,0.07455803855638331,0.2454939689935427,0.7006001045419658,0.6736620539173498,0.9961846605156037,0.3863359442993908,0.5543605295869285,0.020952814775062556,0.04205255229393415,0.16030120665924064,0.784820211091104,1.0859577022933421e-05,0.1382094162618421,0.5779565087876078,0.989917101504507,0.5451998814354693,0.09064406984472234,0.20262582322133804,0.19163303160215783,0.7023734509556815
RekSai,0.054435279573597076,0.15478425057191994,0.10640180093822951,0.42843270032643743,0.42711018172700044,0.7232860945596906,0.5302284555450818,0.7728128231424782,0.28029224780386486,0.3520945372469484,0.7083327569060779,0.7399510407272833,0.3857795634716079,0.340815445276132,0.3560656309675158,0.0,0.3790047834037846,0.0,0.0,0.4349627013115158,0.932977755279763,0.9264542638785581,0.9368453386109544,0.5934810300296285,0.5876141914824888,0.22639687040828338,0.2821703893224288,0.5202100131314134,0.4388712304991196,0.16772163009915667,0.36789736871160317,0.704569925496629,0.5968676236633859,0.6538259014891663,0.4348801572400328,0.3533310582213218,0.36045222950069566,0.1672891434278173
Rengar,0.002056567079613494,0.059324692542369224,0.07094705632704712,0.1266827850386264,0.8197656519258709,0.7163369953384493,0.04178283972395791,0.3412043603678625,0.36125272592316193,0.19166333275238853,0.656814974910835,0.6079704601081601,0.41179950616345806,0.3937773199175288,0.4190474646100191,0.0,0.24984614890870183,0.0,0.0,0.8883409880679016,0.799103603945717,0.7731142029545724,0.2151980138281379,0.42568584388443687,0.1842571216144293,0.29427937621246925,0.3694336546055169,0.598179454824231,0.17798723427532404,0.00818714791564005,0.8580161964067201,0.4899682215536493,0.207533966845045,0.29792554628939794,0.13648777505706305,0.0,0.4312302701058146,0.028089736235220736
Sejuani,0.055346954475103724,0.1677211809874944,0.12917599622709816,0.739441182060453,0.2945210377064942,0.20055309488829354,0.541557214418245,0.5941762782282476,0.08998980815388893,0.7408287555485711,0.16400439491786828,0.2074499439342931,0.17600313549152213,0.1885647759852575,0.2108487931245066,0.016008567959200953,0.14084311516377251,0.0355198399375553,0.08435827153709767,0.2781738752620151,0.738248286147439,0.7776202328413956,0.8799443677316645,0.39129031334772924,0.47554531974811054,0.07226999525989417,0.11372538265525166,0.1661012807357049,0.7596043382448552,0.055713201486718114,0.06221019950505133,0.08053100090454002,0.9459994901999262,0.5550794728017059,0.6668458272150503,0.5491383492094775,0.20004057890199078,0.6929628444264336
Shaco,0.03860128165766284,0.1429754436817997,0.3592287621429714,0.3604968912939601,0.46160238939651,0.8062270949414521,0.47418047647082906,0.7750720257719554,0.32115411923638293,0.10589863848876171,0.827000373832297,0.8027662376279983,0.4255258151353738,0.3980800080366023,0.4480886004588341,0.0,0.10870943179106635,0.0012935901374184536,0.004891062869722581,0.5404518653876738,0.5209574759239693,0.5187454778904227,0.27094042239349314,0.550356937888044,0.5260942380394416,0.2667582687745172,0.016108541765044015,0.5539006706999611,0.28390219199615274,0.002957560042900903,0.6307238402525945,0.8781354597820289,0.2505456947430127,0.7321961736316522,0.27290334101986635,0.39703044941655485,0.41479315143692763,0.023965352721969386
Shyvana,0.0,0.0065779312154021635,0.021754823742751492,0.1638175230837713,0.2899292507631026,0.38206405674465205,0.2373543424965151,0.0,0.26148642909560615,0.36385047905048673,0.4068748799370192,0.43567780648416937,0.37384858633164963,0.48547971760471903,0.5085847752893757,0.0,0.256149866666229,0.0012029530649383172,0.004546337909290265,0.3752930419905418,0.9083936027919225,0.917186342501579,0.14192202342950694,0.0,0.0,0.23383087422092125,0.28527333850052905,0.31031133220918033,0.18923990682034642,0.16535742188107933,0.29210867839988763,0.14154658176943702,0.4148094643513949,0.18195472859940898,0.5048897158781946,0.4104714123534905,0.5560793859203403,0.06584751102709514
Skarner,0.22144176230048807,0.22435207793795364,0.28844423541848435,0.6422896191038012,0.3320102401754892,0.3290061233068571,0.4716029056167921,0.6085160921952175,0.12382155330070946,0.8499296288020914,0.3233683010594324,0.37493917021066175,0.22054287838937436,0.33660157806412466,0.3411338090671499,0.000539395226028207,0.14398740346722427,0.0008439034882479745,0.0015093993573845185,0.30211830134602136,0.9057930793613661,0.9040309613452572,0.6591384009964294,0.3267314827538823,0.6462042263474972,0.10085652155678046,0.117974896364703,0.24591365110995095,0.6904315644306493,0.029074909975726496,0.1435605218279661,0.10838286651615636,0.9924766759017913,0.20558982385334623,0.20865485747402762,0.2978737372142437,0.3614710748870229,1.0
Taliyah,0.0603669499836548,0.14641967534222153,0.34312910724439155,0.47657360681536987,0.4931847260664326,0.6583365292064487,0.38891743547099145,0.7639455009718774,0.3688382587965119,0.0,0.639636192963455,0.6776357498419459,0.4662722704852218,0.6011778079707639,0.614495691315379,0.0,0.029220467970222014,0.003690729750991302,0.013956833712360476,0.4887194995111048,0.37732609789255067,0.31172305700211356,0.6555329138969559,1.0,0.7797969143079957,0.3191591873586815,0.22326872199096437,0.2647384253571353,0.04646792656079335,0.9197506955685392,0.27039989009515053,0.15524463806970512,0.0,0.7645701027373235,0.18384060926306828,0.3220682789797018,0.6830852705226331,0.0031232021040519435
Talon,0.0,0.0,0.09036077577946819,0.14460882835646638,0.4901818345873985,0.9827906175745142,0.3982384933950891,0.679549060113875,0.5861757524357987,0.22871328152454876,1.0,1.0,0.6282553316778741,0.5703409856927366,0.5867702612809533,0.0,0.17845765206270653,0.0,0.0,0.554737622094865,0.7855320097323458,0.7391041970475557,0.0,0.16409354069701454,0.5111295004328631,0.504678553070942,0.2831621284046036,0.7238850358606432,0.16996008278225638,0.4319062146305655,1.0000000000000002,0.8258538291176128,0.3208409374703405,0.3766578732145627,0.4520810911658859,0.38035752835735304,0.6135013665232658,0.03584892849868318
Udyr,0.08668383286984586,0.1703656923625036,1.0,0.3626226328222608,0.33285529738145736,0.4431798130051069,0.4034425070593144,0.35056947204006006,0.2502226572118902,0.7452586241262117,0.4335478041529187,0.5046931307064904,0.33311773956967605,0.4382033813805804,0.45298254705197555,1.437246413494278e-05,0.21541848069692854,9.481093959724691e-05,0.0003134274704153133,0.3996074821637572,0.760629480005168,0.7344695239910103,0.6278226428274393,0.1822132408169106,0.24146222716652543,0.20880645376499896,0.22817260253748745,0.3296813917601772,0.5529351139799197,8.033111770389106e-06,0.40262653072581045,0.3288534283300891,0.8080263172734392,0.6550865981507106,0.1867192562962301,0.417398342804149,0.4677157636028024,0.6455188129580236
