champion,Cluster,highestCrowdControlScore,timeCCingOthers,totalTimeCCDealt,assists,deaths,kills,kda,takedowns,doubleKills,damageSelfMitigated,killingSprees,largestKillingSpree,largestMultiKill,damagePerMinute,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalHeal,effectiveHealAndShielding,totalHealsOnTeammates,totalTimeSpentDead,damageTakenOnTeamPercentage,totalDamageTaken,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killParticipation,multikills,multikillsAfterAggressiveFlash,outnumberedKills,skillshotsDodged,skillshotsHit,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,teamDamagePercentage,tookLargeDamageSurvived
Talon,3,0.0,0.0,0.0903607757794681,0.1446088283564663,0.4901818345873985,0.9827906175745142,0.3982384933950891,0.679549060113875,0.5861757524357987,0.2287132815245487,1.0,1.0,0.6282553316778741,0.5703409856927366,0.5867702612809533,0.0,0.1784576520627065,0.0,0.0,0.554737622094865,0.7855320097323458,0.7391041970475557,0.0,0.1640935406970145,0.5111295004328631,0.504678553070942,0.2831621284046036,0.7238850358606432,0.1699600827822563,0.4319062146305655,1.0000000000000002,0.8258538291176128,0.3208409374703405,0.3766578732145627,0.4520810911658859,0.380357528357353,0.6135013665232658,0.0358489284986831
Udyr,6,0.0866838328698458,0.1703656923625036,1.0,0.3626226328222608,0.3328552973814573,0.4431798130051069,0.4034425070593144,0.35056947204006,0.2502226572118902,0.7452586241262117,0.4335478041529187,0.5046931307064904,0.333117739569676,0.4382033813805804,0.4529825470519755,1.437246413494278e-05,0.2154184806969285,9.481093959724693e-05,0.0003134274704153,0.3996074821637572,0.760629480005168,0.7344695239910103,0.6278226428274393,0.1822132408169106,0.2414622271665254,0.2088064537649989,0.2281726025374874,0.3296813917601772,0.5529351139799197,8.033111770389106e-06,0.4026265307258104,0.3288534283300891,0.8080263172734392,0.6550865981507106,0.1867192562962301,0.417398342804149,0.4677157636028024,0.6455188129580236
Vi,6,0.0201786731608371,0.13693437314348,0.0783211358478514,0.317680942658375,0.56105250807294,0.4038022282149189,0.1269927303602029,0.2414872363875946,0.1965403158359836,0.5145251863979935,0.3847129783089517,0.3580125945318949,0.2772727088191196,0.2204249480319828,0.2318157693134354,0.0,0.1151243090821649,0.0001735019828822,0.0006564317005435,0.536699647624405,0.6518538768281786,0.6002785899261861,0.8706971529029052,0.4577919183969843,0.2266454128991157,0.162238558867221,0.1744701688333711,0.2767597974826534,0.4169613820400435,0.0002197233319377,0.1864327815324762,0.0778010058641927,0.4868133967438642,0.2389985525018834,0.3536754988026562,0.3067578279041412,0.2496823080177016,0.1177090924544605
Viego,1,0.001266969179536,0.0733279242996957,0.0402811969458868,0.1785103630692547,0.4916542266722361,0.6387725935414195,0.2481445145145969,0.3226241625151695,0.5022800768705885,0.2746876467642823,0.6568313913917819,0.6721573884662346,0.6079225794056451,0.3103628728219565,0.3103686516786716,0.0026110017077303,0.2505956784268647,0.0046031032335269,0.0092399972840802,0.4950744126304656,0.8156085227857154,0.7650699617956686,0.6760467450881714,0.5482835437066547,0.3847567966694547,0.4511209843319637,0.4244842052285278,0.4488424842973426,0.3645555725104492,0.1400933670466141,0.3219116811305543,0.2285919719053691,0.4220841761618317,0.1896266152776706,0.3187493475737932,0.4511967504331899,0.3702198870820633,0.1020993185693989
Volibear,6,0.0529601976970398,0.1457223932131138,0.2671366612750823,0.3417508948459014,0.4109141334918269,0.4422824595628427,0.3048675053223808,0.3205403068266923,0.2088739935801275,0.6450701803428983,0.4239329290165282,0.4624719674581076,0.3144812796077059,0.295224301125455,0.3044623425997422,0.0001416759686441,0.216724937583893,0.0001932482419265,0.0002892225781237,0.419972564556913,0.8211876225089699,0.8096463613061154,0.7484779411104764,0.3403659004181198,0.2767114998552551,0.1783926750347995,0.2008051740095735,0.3467201720278431,0.6479420786227614,1.0252048238433648e-05,0.3037815110849142,0.4654146121974541,0.7470413626916534,0.3661035239009913,0.4229200652528547,0.3833940889844558,0.3268327545678666,0.4742025460361944
Warwick,2,0.0423766250157768,0.1487394395932352,0.0941824822745199,0.2927805158300759,0.633612098462015,0.7025428251020773,0.2881152632622414,0.5580512140012401,0.3017068503251064,0.4452422418343149,0.6983734481855762,0.7022007993147275,0.4169210026558374,0.270827377559693,0.295881402939725,8.960508546503696e-05,0.3632015370465247,7.380051114342798e-05,0.0,0.6276464065566012,0.913733001416846,0.9577151710834664,0.7598293729650102,0.4482314931344742,0.4120640103353934,0.2455957251800196,0.2858913961323744,0.4404276836207988,0.3983856746520664,0.0,0.5664159898307416,0.5744642891584856,0.4662231440989329,0.6453658307668144,0.3328893166054432,0.4828475028422472,0.2958804224335482,0.1901782921488895
XinZhao,1,0.0102342003657793,0.1137239918473993,0.2100585995659173,0.3637358050611088,0.6454255362040484,0.5126397116676072,0.2161412226002274,0.4341748279881785,0.2849039998703261,0.366468289609951,0.4585080155805795,0.4714542710858033,0.3911207168375987,0.4227426748963072,0.4131612275453697,0.0,0.3326692050593331,0.0,0.0,0.5774705441866441,0.9654762345034474,0.9400255253534674,0.5682355545085296,0.5506139298567496,0.3605175055318907,0.242181154999609,0.3275317762584316,0.3807686274782074,0.6333504237949081,2.228781432916234e-05,0.3206789462151687,0.1926366295920585,0.6014780392421544,0.3455606906653092,0.0094510548476698,0.2895741542801469,0.4751751539274635,0.1368722219383845
Zac,6,0.2400206644745569,0.231164117490215,0.2069908695420809,0.651731788835767,0.2757849339581644,0.3897339931197174,0.657072575192774,0.693692613087427,0.1967557647930578,0.6305308590377198,0.3929848083210896,0.5022475773194977,0.2526119546993641,0.3546373612166079,0.3614627221925854,5.513370279903756e-05,0.9999999999999998,0.0154637577565286,0.0582457428016519,0.3028188781464263,0.96874892881548,1.0,1.0000000000000002,0.4396859567845117,0.6185214895973106,0.1557186478652884,0.2229108069646313,0.3234443323153647,1.0,0.139751866458612,0.2552783012812566,0.6005268581926261,1.0000000000000002,0.5939453817578944,0.1097711151603829,0.2692726472378066,0.3772325850565676,0.5250459425731
